Entity,Year,gdp_growth,gdp_per_capita,Electricity from renewables (TWh),Capacity(MW),Investment(USDmn)
Iceland,2020,-6.50391225,59270.18005,18.78,979.42,85.61
India,2011,5.241315001,1458.104066,173.62,55353.62,1950.93
India,2012,5.456388753,1443.882435,165.25,26108.13,1119.11
India,2013,6.386106401,1449.610451,187.9,11449.79,586.41
India,2014,7.410227605,1573.885642,202.04,33089.3,699.8
India,2015,7.996253786,1605.605445,203.21,51882.98,898.76
India,2016,8.256305502,1732.554242,208.21,46689.57,2198.17
India,2017,6.795383419,1980.66702,234.9,89066.41,861.45
India,2018,6.532989011,1996.915087,263.61,85708.31,1947.29
India,2019,4.041554187,2100.751461,303.16,63174.23,865.64
India,2020,-7.251754782,1927.707823,315.76,91957.95,431.45
Ireland,2011,1.068526654,52108.83323,5.43,1867.24,0.0
Ireland,2012,-0.052354785,49028.82739,5.25,1999.09,189.58
Ireland,2013,1.267014661,51518.3881,5.63,2312.25,106.08
Ireland,2014,8.713697808,55525.89725,6.39,2583.01,0.0
Ireland,2015,25.17624519,61987.551,7.86,2751.18,0.0
Ireland,2016,2.042232527,62818.96636,7.52,608.08,0.0
Ireland,2017,8.940012772,69601.68388,8.88,3674.2,0.0
Ireland,2018,9.0301611,79068.97461,10.2,755.63,84.85
Ireland,2019,4.917006978,80886.61574,11.8,4536.32,0.0
Ireland,2020,5.866975509,85267.76474,13.46,4649.0,0.0
Israel,2011,5.542590001,33775.512,0.26,218.6,0.0
Israel,2012,2.822996205,32667.60687,0.44,265.6,0.0
Israel,2013,4.777202349,36499.45611,0.58,65.9,0.0
Israel,2014,4.124746861,37847.64994,0.96,102.74,721.0
Israel,2015,2.279679419,35808.43643,1.25,813.01,166.02
Israel,2016,4.462753818,37330.2618,1.69,934.51,0.0
Israel,2017,4.377044428,40774.12961,1.79,1037.51,0.0
Israel,2018,3.983424594,42063.45313,1.85,85.51,0.0
Israel,2019,3.77358981,43951.24773,2.9,429.51,0.0
Israel,2020,-2.153428489,44168.94364,3.86,524.55,0.0
Italy,2011,0.707333347,38599.06221,82.96,40824.22,184.36
Italy,2012,-2.980905768,35053.52624,92.22,39430.72,0.0
Italy,2013,-1.841065451,35549.9747,112.0,47327.85,0.0
Italy,2014,-0.004547542,35518.41529,120.68,31778.85,340.54
Italy,2015,0.778304351,30230.2263,108.89,29159.9,44.15
Italy,2016,1.293462732,30939.71425,108.01,50835.9,196.19
Italy,2017,1.667859041,32326.67421,103.89,38179.36,555.14
Italy,2018,0.925810941,34605.26273,114.41,22291.21,392.71
Italy,2019,0.410278294,33641.63375,115.83,24403.69,307.86
Italy,2020,-8.9385925,31714.22095,116.9,29649.7,100.19
Jamaica,2011,1.730376267,5111.465987,0.45,95.33,8.86
Jamaica,2012,-0.61363604,5209.859264,0.47,95.63,0.12
Jamaica,2013,0.517686013,4989.734089,0.43,76.13,0.0
Jamaica,2014,0.689822357,4834.284009,0.46,78.13,57.8
Jamaica,2015,0.921487125,4907.927415,0.46,80.53,87.99
Jamaica,2016,1.375223064,4843.7499,0.5,161.63,17.58
Jamaica,2017,0.997123062,5070.099503,0.6,189.63,0.9
Jamaica,2018,1.889923681,5359.993789,0.69,189.63,70.52
Jamaica,2019,0.892291654,5369.498371,0.65,226.63,0.17
Jamaica,2020,-10.0,4664.530242,0.64,226.63,0.0
Japan,2011,0.023809524,48760.07895,116.5,36969.5,0.0
Japan,2012,1.374750999,49145.28043,111.09,18458.0,0.0
Japan,2013,2.005100177,40898.6479,121.48,46074.5,0.0
Japan,2014,0.296205514,38475.39525,136.53,53223.0,0.0
Japan,2015,1.560626697,34960.63938,157.34,36750.5,0.0
Japan,2016,0.753826746,39400.73936,157.7,33415.0,0.0
Japan,2017,1.675331752,38891.08627,175.12,35181.5,0.0
Japan,2018,0.558851275,39808.16856,183.63,89508.5,0.0
Japan,2019,0.270304645,40777.6087,192.72,99205.5,0.0
Japan,2020,-4.585508281,40193.25244,205.6,99557.49,0.0
Kenya,2011,5.12110612,1085.487152,5.18,1041.07,511.18
Kenya,2012,4.568679614,1271.815383,6.06,195.54,144.0
Kenya,2013,3.797848393,1354.820833,6.11,927.4,16.26
Kenya,2014,5.020111002,1462.220052,6.7,1279.14,818.04
Kenya,2015,4.967721128,1464.554009,8.44,1038.02,542.53
Kenya,2016,4.213517068,1525.235192,8.26,1586.54,701.14
Kenya,2017,3.815506427,1633.491216,8.41,1636.12,301.26
Kenya,2018,5.62910144,1794.091175,9.79,1283.44,256.69
Kenya,2019,4.981132628,1912.647867,10.24,1444.44,84.49
Kenya,2020,-0.316182729,1878.580703,10.83,1444.53,19.88
Kiribati,2011,1.594321811,1734.903839,0.0,0.43,0.0
Kiribati,2012,4.713645402,1788.691439,0.0,0.47,0.0
Kiribati,2013,4.214851087,1715.814321,0.0,0.5,4.7
Kiribati,2014,-0.697737743,1642.820129,0.0,0.84,4.34
Kiribati,2015,10.40486376,1542.616465,0.0,2.31,0.0
Kiribati,2016,5.137719245,1584.738015,0.0,2.87,0.0
Kiribati,2017,0.889757537,1640.571205,0.0,2.87,0.0
Kiribati,2018,3.775954286,1727.845001,0.0,2.87,0.86
Kiribati,2019,3.926445438,1601.861869,0.0,2.87,0.0
Kiribati,2020,-1.947556647,1653.540297,0.0,2.87,0.0
Latvia,2011,2.564422968,13338.96224,3.08,1642.0,0.0
Latvia,2012,7.037317185,13847.33794,4.11,1701.2,0.0
Latvia,2013,2.010744815,15007.49186,3.53,1760.71,0.0
Latvia,2014,1.900096243,15721.45233,2.8,1777.92,0.0
Latvia,2015,3.885027277,13780.91355,2.78,1728.06,0.0
Latvia,2016,2.367609543,14322.02268,3.48,1777.8,0.0
Latvia,2017,3.31308889,15656.34749,5.46,1742.15,0.0
Latvia,2018,3.989480387,17856.30712,3.49,1779.21,0.0
Latvia,2019,2.484326355,17926.84159,3.19,1771.53,0.0
Latvia,2020,-3.618565992,17726.25294,3.64,1775.43,0.0
Libya,2011,-62.07591958,5554.180053,0.01,4.2,0.0
Libya,2012,123.1395552,13025.27932,0.01,4.9,0.0
Libya,2013,-13.59999997,10363.80425,0.01,4.9,0.0
Libya,2014,-24.00000003,6466.908237,0.01,4.9,0.0
Libya,2015,-8.862039363,4337.919139,0.01,4.9,0.0
Libya,2016,-2.79546889,4035.196802,0.01,4.9,0.0
Libya,2017,26.68090263,5756.699325,0.01,5.11,0.0
Libya,2018,15.13279989,7877.12461,0.01,5.11,0.0
Libya,2019,2.535953478,7685.948132,0.01,5.11,0.0
Libya,2020,-31.30000005,3699.294765,0.01,5.11,0.0
Malawi,2011,4.854055111,534.9510502,1.88,301.06,2.41
Malawi,2012,1.885799507,391.5617052,1.96,301.98,1.69
Malawi,2013,5.199999997,348.4298737,1.96,304.7,36.02
Malawi,2014,5.700000004,371.2695217,2.08,370.96,1.93
Malawi,2015,2.8,380.5969877,2.08,375.39,63.52
Malawi,2016,2.484040625,315.7779871,2.05,375.69,0.35
Malawi,2017,4.000030517,506.1372944,1.9,382.77,3.86
Malawi,2018,4.391688296,544.5934354,1.44,401.75,17.15
Malawi,2019,5.448181336,591.8463896,1.5,408.65,105.14
Malawi,2020,0.799998331,636.8205368,1.5,409.95,1.58
Mexico,2011,3.66300793,10203.4213,50.7,12940.0,1.02
Mexico,2012,3.642322679,10241.72783,47.2,14356.0,366.04
Mexico,2013,1.354091962,10725.18359,44.67,15176.0,70.97
Mexico,2014,2.849773255,10928.91601,57.46,16568.0,387.45
Mexico,2015,3.293151528,9616.645558,52.42,16486.0,226.35
Mexico,2016,2.630532425,8744.515559,52.97,3902.77,455.35
Mexico,2017,2.113129135,9287.849587,55.88,19462.22,502.06
Mexico,2018,2.194994725,9686.984927,58.78,21273.38,377.95
Mexico,2019,-0.176599456,9950.45008,59.0,8313.65,197.42
Mexico,2020,-8.309034659,8329.271313,69.19,16144.65,376.63
Morocco,2011,5.245697297,3046.947854,2.69,182.7,218.32
Morocco,2012,3.009961262,2912.658275,2.42,183.7,914.03
Morocco,2013,4.5354242,3121.680081,4.19,207.7,5.9
Morocco,2014,2.669493927,3171.699192,3.61,955.13,1433.58
Morocco,2015,4.536378168,2875.257985,4.45,975.03,234.28
Morocco,2016,1.05985639,2896.722196,4.74,1061.8,468.74
Morocco,2017,4.254603273,3035.454433,4.69,307.83,119.26
Morocco,2018,3.148502656,3226.982794,6.52,517.83,811.63
Morocco,2019,2.607935495,3235.00066,7.6,517.83,639.78
Morocco,2020,-6.29325316,3058.691689,7.02,409.93,0.0
Nepal,2011,3.421828241,799.5833769,3.46,712.87,130.76
Nepal,2012,4.438493505,804.1416073,3.51,115.4,29.37
Nepal,2013,3.525153171,823.3598746,3.49,116.34,320.07
Nepal,2014,6.011482843,844.8531248,3.78,762.67,386.22
Nepal,2015,3.976053272,901.7496077,3.45,827.66,18.44
Nepal,2016,0.433113719,899.523581,4.23,848.32,29.04
Nepal,2017,8.977279356,1048.453755,4.72,994.09,10.64
Nepal,2018,7.622376105,1178.525932,4.99,77.96,14.92
Nepal,2019,6.657055428,1194.956876,6.26,1233.15,326.95
Nepal,2020,-2.088378695,1155.142854,6.33,1363.7,0.04
New Zealand,2011,2.256736921,38387.62708,33.18,6826.0,0.0
New Zealand,2012,2.24064087,39973.38076,31.4,6841.4,0.0
New Zealand,2013,2.695783859,42976.64959,31.82,6930.0,0.0
New Zealand,2014,3.813831016,44572.89875,34.0,7133.0,0.0
New Zealand,2015,3.707375818,38630.72659,34.92,7128.0,0.0
New Zealand,2016,3.730079893,40080.49411,36.2,7186.0,0.0
New Zealand,2017,3.613281553,42992.89527,35.33,7072.0,0.0
New Zealand,2018,3.20574788,43306.07,36.3,7098.0,0.0
New Zealand,2019,1.633932613,42755.21626,35.97,7213.0,0.0
New Zealand,2020,1.862851533,41441.46667,34.77,7353.15,0.0
Norway,2011,0.981434479,100600.5624,121.9,30181.5,150.58
Norway,2012,2.703109471,101524.1419,143.6,30726.0,206.66
Norway,2013,1.034072914,102913.4508,130.42,32001.7,55.12
Norway,2014,1.969544301,97019.18275,137.94,32251.7,240.25
Norway,2015,1.967128438,74355.51586,140.07,32393.7,117.79
